"","Abstention","BN","Mancel","Italiani","Voix"
"abs","95.37%","0.50%","1.52%","2.61%","10426"
"BN","17.82%","24.27%","22.57%","35.34%","136"
"Mancel","2.95%","2.24%","92.05%","2.76%","1458"
"Ripart","22.39%","40.09%","18.16%","19.36%","407"
"Lesaege","22.99%","33.95%","17.24%","25.83%","97"
"Ramel","26.52%","17.88%","27.52%","28.07%","53"
"Potchtovik","21.45%","19.68%","27.54%","31.34%","89"
"Houssin","12.65%","14.90%","28.08%","44.38%","1324"
"Italiani","3.85%","3.85%","4.97%","87.33%","889"
"Voix","10438","553","2075","1813","14879"
