"","Abstention","BN","Mancel","Italiani","Voix"
"abs","93.39%","0.71%","2.19%","3.71%","8776"
"BN","17.54%","24.23%","22.28%","35.95%","103"
"Mancel","2.76%","2.38%","92.07%","2.79%","1708"
"Ripart","21.16%","41.19%","17.62%","20.03%","291"
"Lesaege","22.74%","34.37%","17.07%","25.81%","87"
"Ramel","26.32%","17.89%","27.61%","28.18%","50"
"Potchtovik","21.26%","20.08%","26.98%","31.67%","43"
"Houssin","10.65%","16.76%","25.29%","47.30%","651"
"Italiani","3.26%","3.74%","4.39%","88.60%","849"
"Voix","8458","430","2127","1543","12558"
