"","Abstention","BN","Mancel","Italiani","Voix"
"abs","90.65%","0.79%","1.77%","6.79%","4573"
"BN","17.27%","24.49%","21.58%","36.67%","80"
"Mancel","2.87%","2.57%","90.60%","3.96%","990"
"Ripart","20.86%","41.32%","16.99%","20.82%","120"
"Lesaege","22.53%","34.80%","16.72%","25.96%","43"
"Ramel","26.21%","18.01%","27.50%","28.27%","15"
"Potchtovik","21.16%","19.68%","26.73%","32.42%","49"
"Houssin","10.11%","16.32%","22.31%","51.25%","496"
"Italiani","2.76%","3.24%","3.56%","90.45%","966"
"Voix","4233","278","1184","1637","7332"
