Canton,Commune,Inscrits,votants,BN,Exprimés,Mancel,Ripart,Lesaege,Ramel,Potchtovik,Houssin,Italiani,Inscrits2,votants2,B2,Exprimés2,Mancel2,Italiani2
AUNEUIL,AUNEUIL,946,317,6,311,116,21,7,4,9,48,106,946,330,34,296,135,161
AUNEUIL,AUNEUIL,1056,320,12,308,111,22,9,9,4,63,90,1056,320,27,293,140,153
AUNEUIL,AUTEUIL,437,145,3,142,62,10,4,7,1,10,48,437,153,7,146,76,70
AUNEUIL,BEAUMONT-LES-NONAINS,275,103,3,100,42,4,2,3,1,11,37,275,117,6,111,47,64
AUNEUIL,BERNEUIL-EN-BRAY,689,206,4,202,81,20,3,1,4,30,63,689,226,24,202,95,107
AUNEUIL,FROCOURT,350,117,7,110,50,18,3,1,0,29,9,350,118,23,95,54,41
AUNEUIL,LA HOUSSOYE,434,100,5,95,43,1,1,0,4,16,30,434,106,9,97,48,49
AUNEUIL,JOUY-SOUS-THELLE,683,186,3,183,80,18,2,1,4,37,41,683,210,29,181,92,89
AUNEUIL,LE MESNIL-THERIBUS,543,149,6,143,45,7,1,0,1,36,53,543,188,21,167,73,94
AUNEUIL,LE MONT-ST-ADRIEN,458,170,8,162,68,6,1,7,3,35,42,458,185,27,158,87,71
AUNEUIL,LA NEUVILLE-GARNIER,218,67,3,64,22,4,0,3,0,8,27,218,70,2,68,31,37
AUNEUIL,ONS-EN-BRAY,987,246,4,242,40,23,13,8,5,57,96,987,324,31,293,96,197
AUNEUIL,PORCHEUX,270,104,2,102,59,2,4,1,1,14,21,270,108,7,101,68,33
AUNEUIL,RAINVILLERS,717,296,11,285,114,18,5,12,7,62,67,717,284,30,254,132,122
AUNEUIL,ST-GERMAIN-LA-POTERIE,347,132,4,128,68,9,5,1,5,23,17,347,142,12,130,92,38
AUNEUIL,ST-LEGER-EN-BRAY,312,100,2,98,35,1,1,2,0,23,36,312,118,16,102,41,61
AUNEUIL,ST-PAUL,1260,489,10,479,246,27,9,5,7,104,81,1260,504,57,447,297,150
AUNEUIL,TROUSSURES,163,75,2,73,43,6,3,0,1,11,9,163,86,8,78,55,23
AUNEUIL,VALDAMPIERRE,726,140,4,136,56,10,1,0,0,20,49,726,163,16,147,71,76
AUNEUIL,VILLERS-ST-BARTHELEMY,421,169,3,166,76,9,3,7,1,23,47,421,167,14,153,73,80
AUNEUIL,VILLOTRAN,227,71,3,68,19,2,3,1,0,15,28,227,84,14,70,26,44
BEAUVAIS,ALLONNE,1159,390,15,375,158,25,8,3,2,94,85,1159,390,44,346,201,145
BEAUVAIS,BEAUVAIS,898,308,8,300,184,7,5,4,2,50,48,898,322,29,293,211,82
BEAUVAIS,BEAUVAIS,1324,404,12,392,152,31,9,5,12,108,75,1324,395,40,355,193,162
BEAUVAIS,BEAUVAIS,1157,327,7,320,120,36,10,6,7,93,48,1157,298,39,259,169,90
BEAUVAIS,BEAUVAIS,955,302,13,289,76,33,9,5,2,95,69,955,317,48,269,123,146
BEAUVAIS,BEAUVAIS,908,237,5,232,76,37,7,2,5,61,44,908,259,40,219,105,114
BEAUVAIS,BEAUVAIS,1117,322,10,312,115,33,4,3,7,82,68,1117,342,42,300,165,135
BEAUVAIS,BEAUVAIS,884,240,9,231,32,21,2,3,6,124,43,884,211,34,177,95,82
BEAUVAIS,BEAUVAIS,1455,320,10,310,87,36,3,0,12,117,55,1455,297,32,265,154,111
BEAUVAIS,BEAUVAIS,949,212,7,205,51,23,7,5,7,79,33,949,219,25,194,108,86
BEAUVAIS,BEAUVAIS,861,234,7,227,64,37,2,4,6,76,38,861,213,29,184,93,91
BEAUVAIS,BEAUVAIS,855,221,6,215,60,18,8,5,4,68,52,855,213,20,193,84,109
BEAUVAIS,GOINCOURT,999,418,10,408,134,21,15,3,7,116,112,999,457,53,404,187,217
BEAUVAIS,ST-MARTIN-LE-NŒUD,761,291,11,280,79,29,7,4,3,93,65,761,266,37,229,96,133
BEAUVAIS,AUX MARAIS,597,227,6,221,70,20,1,1,7,68,54,593,242,41,201,91,110
CHAUMONT,BACHIVILLERS,331,88,4,84,37,3,2,0,1,3,38,331,117,8,109,47,62
CHAUMONT,BOISSY-LE-BOIS,132,56,1,55,28,3,2,2,0,3,17,132,55,3,52,31,21
CHAUMONT,BOUBIERS,305,80,1,79,42,7,1,2,0,11,16,305,73,7,66,43,23
CHAUMONT,BOUCONVILLERS,271,92,1,91,50,10,1,2,1,15,12,271,96,10,86,58,28
CHAUMONT,BOURY-EN-VEXIN,288,106,3,103,51,3,2,2,1,17,27,288,116,4,112,68,44
CHAUMONT,BOUTENCOURT,196,88,4,84,50,3,1,0,0,9,21,196,80,6,74,50,24
CHAUMONT,CHAMBORS,266,100,3,97,39,7,2,1,2,17,29,266,90,12,78,42,36
CHAUMONT,CHAUMONT-EN-VEXIN,1064,331,9,322,144,30,8,4,8,51,77,1064,358,34,324,171,153
CHAUMONT,CHAUMONT-EN-VEXIN,902,259,10,249,111,31,4,2,1,53,47,902,257,23,234,139,95
CHAUMONT,COURCELLES-LES-GISORS,616,154,7,147,56,10,2,6,0,31,42,616,169,15,154,73,81
CHAUMONT,DELINCOURT,461,157,1,156,73,14,3,2,2,32,30,461,158,24,134,84,50
CHAUMONT,ENENCOURT-LEAGE,116,41,0,41,29,2,3,0,1,2,4,116,43,1,42,34,8
CHAUMONT,ENENCOURT-LE-SEC,141,68,0,68,43,1,0,0,0,10,14,141,77,0,77,50,27
CHAUMONT,ERAGNY-SUR-EPTE,426,110,7,103,33,9,2,5,3,32,19,426,116,13,103,59,44
CHAUMONT,FAY-LES-ETANGS,298,93,2,91,36,9,2,1,1,14,28,298,91,4,87,34,53
CHAUMONT,FLEURY,351,90,2,88,28,3,1,3,2,22,29,351,113,12,101,45,56
CHAUMONT,FRESNE-LEGUILLON,322,86,6,80,31,11,7,0,1,9,21,332,89,24,65,29,36
CHAUMONT,HADANCOURT-LE-HAUT-CLOCHER,277,78,1,77,38,3,5,1,2,12,16,277,101,8,93,63,30
CHAUMONT,HARDIVILLERS-EN-VEXIN,95,41,3,38,20,1,0,1,1,9,6,95,46,2,44,21,23
CHAUMONT,JAMERICOURT,231,94,3,91,39,4,6,0,0,16,26,231,89,10,79,40,39
CHAUMONT,LATTAINVILLE,112,31,0,31,15,1,4,1,0,3,7,112,28,2,26,14,12
CHAUMONT,LAVILLETERTRE,345,100,2,98,47,13,0,2,4,12,20,345,112,13,99,62,37
CHAUMONT,LIANCOURT-ST-PIERRE,452,171,5,166,58,32,3,2,2,33,36,452,167,28,139,75,64
CHAUMONT,LIERVILLE,180,62,0,62,41,0,4,1,1,7,8,180,63,6,57,44,13
CHAUMONT,LOCONVILLE,206,49,2,47,19,2,0,0,0,12,14,206,67,4,63,37,26
CHAUMONT,MONNEVILLE,582,112,2,110,51,8,3,1,0,24,23,582,138,16,122,77,45
CHAUMONT,MONTAGNY-EN-VEXIN,453,105,2,103,57,4,3,1,2,19,17,453,127,13,114,73,41
CHAUMONT,MONTJAVOULT,361,103,1,102,42,11,4,0,0,17,28,361,116,17,99,53,46
CHAUMONT,PARNES,288,68,1,67,28,4,3,1,1,19,11,288,76,10,66,43,23
CHAUMONT,REILLY,129,47,1,46,25,1,0,0,1,13,6,129,55,5,50,37,13
CHAUMONT,SENOTS,236,43,2,41,17,3,0,1,1,11,8,236,50,8,42,23,19
CHAUMONT,SERANS,173,42,0,42,25,1,2,0,0,9,5,173,53,10,43,30,13
CHAUMONT,THIBIVILLERS,121,61,1,60,40,3,0,0,1,4,12,121,71,7,64,46,18
CHAUMONT,TOURLY,128,51,1,50,25,10,0,1,1,8,5,128,48,11,37,27,10
CHAUMONT,TRIE-CHÂTEAU,1007,317,10,307,147,18,5,4,1,48,84,1007,354,27,327,180,147
CHAUMONT,TRIE-LA-VILLE,276,79,4,75,33,5,1,0,1,19,16,276,92,16,76,46,30
CHAUMONT,VAUDANCOURT,146,51,0,51,22,4,0,0,0,12,13,146,60,8,52,33,19
CHAUMONT,VILLERS-SUR-TRIE,274,78,1,77,38,7,1,1,0,13,17,274,89,9,80,46,34
LE COUDRAY,BLACOURT,437,146,5,141,54,6,7,0,0,22,52,437,171,11,160,76,84
LE COUDRAY,LE COUDRAY-ST-GERMER,602,224,5,219,94,5,2,4,2,49,63,602,237,10,227,111,116
LE COUDRAY,CUIGY-EN-BRAY,719,182,7,175,65,5,2,1,2,41,59,719,223,17,206,89,117
LE COUDRAY,ESPAUBOURG,375,118,2,116,46,7,8,2,1,15,37,375,113,7,106,46,60
LE COUDRAY,FLAVACOURT,574,161,2,159,64,10,5,0,0,43,37,574,179,19,160,84,76
LE COUDRAY,HODENC-EN-BRAY,370,124,2,122,41,15,5,0,0,29,32,370,138,25,113,47,66
LE COUDRAY,LABOSSE,350,112,1,111,57,4,4,0,2,19,25,350,118,9,109,60,49
LE COUDRAY,LACHAPELLE-AUX-POTS,1118,436,20,416,193,17,7,2,4,95,98,1119,475,42,433,250,183
LE COUDRAY,LALANDE-EN-SON,522,119,1,118,33,8,4,2,4,30,37,522,130,19,111,41,70
LE COUDRAY,LALANDELLE,389,130,1,129,46,9,1,2,1,26,44,389,140,13,127,53,74
LE COUDRAY,PUISEUX-EN-BRAY,306,83,1,82,29,4,1,1,0,16,31,306,87,6,81,39,42
LE COUDRAY,ST-AUBIN-EN-BRAY,321,108,3,105,32,12,4,0,0,31,26,321,126,20,106,36,70
LE COUDRAY,ST-AUBIN-EN-BRAY,355,109,3,106,32,11,3,1,2,29,28,355,133,16,117,45,72
LE COUDRAY,ST-GERMER-DE-FLY,726,215,2,213,107,6,5,5,3,36,51,726,252,13,239,130,109
LE COUDRAY,ST-GERMER-DE-FLY,679,210,4,206,87,2,2,7,3,51,54,679,236,15,221,102,119
LE COUDRAY,ST-PIERRE-ES-CHAMPS,473,147,5,142,55,5,6,12,1,20,43,473,175,13,162,76,86
LE COUDRAY,SERIFONTAINE,940,274,11,263,60,48,4,4,4,71,72,940,258,39,219,93,126
LE COUDRAY,SERIFONTAINE,1044,270,11,259,49,90,0,2,3,63,52,1044,286,51,235,88,147
LE COUDRAY,TALMONTIERS,476,155,4,151,44,10,3,4,0,48,42,476,161,23,138,55,83
LE COUDRAY,LE VAUMAIN,272,74,3,71,38,4,0,1,1,17,10,272,80,18,62,43,19
LE COUDRAY,LE VAUROUX,390,118,3,115,43,9,1,2,0,24,36,390,124,13,111,55,56
FORMERIE,ABANCOURT,463,197,3,194,65,2,2,1,5,50,69,463,216,14,202,84,118
FORMERIE,BLARGIES,420,163,2,161,72,2,3,2,1,41,40,420,166,15,151,81,70
FORMERIE,BOUTAVENT,72,49,5,44,14,0,3,2,2,9,14,72,56,4,52,24,28
FORMERIE,BOUVRESSE,160,53,2,51,31,2,0,0,0,3,15,160,63,5,58,38,20
FORMERIE,BROQUIERS,184,66,3,63,21,1,0,0,2,19,20,184,75,2,73,30,43
FORMERIE,CAMPEAUX,371,142,10,132,62,5,2,3,10,18,32,370,145,16,129,68,61
FORMERIE,CANNY-SUR-THERAIN,153,59,3,56,30,1,0,1,1,9,14,153,76,7,69,42,27
FORMERIE,ESCLES-ST-PIERRE,125,53,0,53,24,1,0,0,0,8,20,125,62,4,58,29,29
FORMERIE,FORMERIE,721,286,11,275,114,5,5,3,11,68,69,721,333,33,300,147,153
FORMERIE,FORMERIE,788,301,9,292,102,9,2,4,15,77,83,788,340,26,314,116,198
FORMERIE,FOUILLOY,141,60,1,59,30,4,0,0,1,12,12,141,62,5,57,23,34
FORMERIE,GOURCHELLES,108,64,3,61,15,6,0,1,0,22,17,108,59,17,42,20,22
FORMERIE,HERICOURT-SUR-THERAIN,86,41,0,41,17,1,7,0,0,6,10,86,41,4,37,22,15
FORMERIE,LANNOY-CUILLERE,192,68,1,67,40,1,0,3,1,5,17,192,80,1,79,56,23
FORMERIE,MOLIENS,708,266,12,254,95,8,8,2,15,42,84,708,303,17,286,122,164
FORMERIE,MONCEAUX-L'ABBAYE,179,86,3,83,37,3,2,1,2,5,33,179,96,6,90,37,53
FORMERIE,MUREAUMONT,120,59,1,58,35,1,0,0,0,5,17,120,56,3,53,33,20
FORMERIE,OMECOURT,125,47,0,47,30,1,0,2,0,2,12,125,52,3,49,34,15
FORMERIE,QUINCAMPOIX-FLEUZY,306,141,1,140,71,8,2,0,5,16,38,306,146,8,138,79,59
FORMERIE,ROMESCAMPS,353,137,8,129,66,6,2,1,4,34,16,353,147,11,136,69,67
FORMERIE,SAINT-ARNOULT,176,86,4,82,20,5,1,3,0,15,38,176,86,10,76,25,51
FORMERIE,ST-SAMSON-LA-POTERIE,202,62,1,61,24,0,2,1,3,9,22,202,83,9,74,29,45
FORMERIE,ST-VALERY,50,30,2,28,19,0,0,1,0,0,8,50,27,2,25,17,8
FORMERIE,VILLERS-VERMONT,99,43,1,42,25,3,0,0,0,6,8,99,43,4,39,24,15
GRANDVILLIERS,BEAUDEDUIT,160,74,3,71,20,5,0,0,3,9,34,160,79,3,76,24,52
GRANDVILLIERS,BRIOT,228,101,5,96,45,5,3,0,3,19,21,228,114,10,104,46,58
GRANDVILLIERS,BROMBOS,172,71,3,68,32,5,0,0,0,7,24,172,78,6,72,34,38
GRANDVILLIERS,CEMPUIS,344,145,3,142,48,6,4,1,2,22,59,344,158,21,137,60,77
GRANDVILLIERS,DAMERAUCOURT,169,64,2,62,16,4,1,0,3,8,30,169,77,11,66,23,43
GRANDVILLIERS,DARGIES,210,87,1,86,35,0,0,0,1,20,30,210,116,5,111,45,66
GRANDVILLIERS,ELENCOURT,47,20,3,17,3,0,2,0,0,7,5,47,24,10,14,7,7
GRANDVILLIERS,FEUQUIERES,1091,302,11,291,80,23,9,0,8,80,91,1091,320,43,277,96,181
GRANDVILLIERS,GRANDVILLIERS,1295,494,10,484,215,20,5,2,7,84,151,1295,523,30,493,254,239
GRANDVILLIERS,GRANDVILLIERS,890,312,5,307,105,14,5,2,8,70,103,890,346,28,318,116,202
GRANDVILLIERS,GREZ,200,83,0,83,28,1,1,0,2,7,44,200,87,2,85,30,55
GRANDVILLIERS,HALLOY,348,127,2,125,41,4,1,2,0,40,37,348,152,17,135,50,85
GRANDVILLIERS,LE HAMEL,134,68,1,67,9,5,2,0,0,4,47,134,81,8,73,13,60
GRANDVILLIERS,HAUTBOS,117,46,1,45,16,1,2,1,0,8,17,117,50,6,44,23,21
